productNum,productName,productPrice,productRating,productReviewCount,productInStock,productBackOrder,productStockLimitations,productExclusiveTags,productSeriesTags,seriesName,seriesImage,productAgeRatingBottom,productAgeRatingTop,productPieceCount,vipPoints,chokeWarning,offersFlyer,signUpOffer,offersImageLink
0,dolorum voluptas velit,769.40,4.9,7447,0,10,2,,eos/ipsa/eaque,nihil,https://loremflickr.com/320/240/electronics,17,60462,9343,4121,true,Aspernatur qui rerum dolores qui possimus.,0,https://s3.amazonaws.com/uifaces/faces/twitter/aviddayentonbay/128.jpg
1,animi excepturi natus,650.67,0.9,471,1,11,4,natus,ex/numquam,corporis,https://loremflickr.com/320/240/electronics,17,66712,9787,5417,false,Voluptas aspernatur mollitia quidem consequatur.,0,https://s3.amazonaws.com/uifaces/faces/twitter/g3d/128.jpg
2,doloribus ut dolor,547.04,0.2,7956,0,114,0,reprehenderit,eum/ipsum/deserunt,et,https://loremflickr.com/320/240/electronics,13,82422,3851,6994,true,Aspernatur nemo mollitia dicta.,0,https://s3.amazonaws.com/uifaces/faces/twitter/dutchnadia/128.jpg
3,magni et repellat,998.90,4.9,8145,1,66,0,eaque,unde/dolores/optio/aut,placeat,https://loremflickr.com/320/240/electronics,4,62974,4338,3912,true,Qui repudiandae ullam architecto dolor iste.,0,https://s3.amazonaws.com/uifaces/faces/twitter/amywebbb/128.jpg
4,animi temporibus et,264.16,3.3,8971,0,58,7,eveniet,quibusdam/unde,provident,https://loremflickr.com/320/240/electronics,17,31760,5964,188,true,Repellat accusamus sint quasi quasi.,0,https://s3.amazonaws.com/uifaces/faces/twitter/ankitind/128.jpg
5,assumenda vero illo,142.14,4.0,8176,1,2,0,vel,numquam/ut,maxime,https://loremflickr.com/320/240/electronics,4,3561,9169,2677,true,Occaecati et ab enim voluptates.,0,https://s3.amazonaws.com/uifaces/faces/twitter/teeragit/128.jpg
6,iure ut rerum,202.50,2.3,5369,0,51,0,sed/aliquam/ut,quia,dolores,https://loremflickr.com/320/240/electronics,10,1660,3766,962,true,Sed eveniet mollitia excepturi aliquid omnis eius quia.,1,https://s3.amazonaws.com/uifaces/faces/twitter/dahparra/128.jpg
7,quaerat iure ut,179.84,3.3,6015,1,1,6,amet/dolor/qui,doloremque/recusandae/iure/consequatur,sapiente,https://loremflickr.com/320/240/electronics,15,17198,876,4806,true,Veritatis ut et commodi.,1,https://s3.amazonaws.com/uifaces/faces/twitter/bobwassermann/128.jpg
8,provident fugiat minima,420.47,1.1,3198,0,9,6,autem/nam,dolorem/ullam,aliquam,https://loremflickr.com/320/240/electronics,10,94828,2083,6781,true,Qui culpa occaecati et.,0,https://s3.amazonaws.com/uifaces/faces/twitter/vinciarts/128.jpg
9,alias culpa vel,554.60,4.7,17,0,54,0,unde/consequatur,omnis/consequuntur,est,https://loremflickr.com/320/240/electronics,4,73327,6889,2615,true,Vitae vel ipsum numquam nemo placeat rem.,1,https://s3.amazonaws.com/uifaces/faces/twitter/chadengle/128.jpg
10,nihil nesciunt occaecati,122.65,4.0,9779,1,5,9,reiciendis/dolorem,molestiae/quibusdam/doloremque/libero,quia,https://loremflickr.com/320/240/electronics,7,75494,1460,9883,false,Dolor id autem itaque non a enim molestias.,0,https://s3.amazonaws.com/uifaces/faces/twitter/mgonto/128.jpg
11,ab ex esse,345.43,2.8,7851,0,31,9,ipsum/deleniti,natus,corrupti,https://loremflickr.com/320/240/electronics,16,11357,6267,5976,false,Cum sit sunt corporis provident laboriosam laboriosam.,0,https://s3.amazonaws.com/uifaces/faces/twitter/akashsharma39/128.jpg
12,mollitia rerum ea,91.46,2.4,1648,0,101,5,,minus,aperiam,https://loremflickr.com/320/240/electronics,8,44457,5179,1899,false,Aut aut qui placeat aut unde.,1,https://s3.amazonaws.com/uifaces/faces/twitter/mbilderbach/128.jpg
13,praesentium dolores nulla,901.72,4.8,6236,0,50,9,non,eius/aut/et/veniam,id,https://loremflickr.com/320/240/electronics,0,9348,176,8341,true,Ab debitis voluptas incidunt nesciunt et fugiat rerum placeat molestiae.,0,https://s3.amazonaws.com/uifaces/faces/twitter/lowie/128.jpg
14,consequatur sed quaerat,79.46,2.5,4284,1,96,7,adipisci/quia,praesentium/placeat/occaecati/fugiat,earum,https://loremflickr.com/320/240/electronics,12,43374,6951,1968,true,Eum sit expedita rem molestiae quas.,0,https://s3.amazonaws.com/uifaces/faces/twitter/nellleo/128.jpg
15,sed ipsum mollitia,724.65,1.5,7090,0,50,1,et/quia,eveniet/aliquam/numquam/laboriosam,nulla,https://loremflickr.com/320/240/electronics,17,55463,8307,2810,true,Porro quis laudantium pariatur.,0,https://s3.amazonaws.com/uifaces/faces/twitter/thekevinjones/128.jpg
16,quam minima culpa,624.71,3.0,8883,1,11,1,,dolor/ut/natus,dolorem,https://loremflickr.com/320/240/electronics,5,5766,4191,8909,true,Fuga aperiam quis aut cumque temporibus excepturi iusto et quia.,1,https://s3.amazonaws.com/uifaces/faces/twitter/desastrozo/128.jpg
17,voluptatem qui temporibus,149.16,4.6,977,0,95,9,,nisi,eius,https://loremflickr.com/320/240/electronics,18,30517,9008,9231,false,Rem corporis qui ullam.,1,https://s3.amazonaws.com/uifaces/faces/twitter/hai_ninh_nguyen/128.jpg
18,sequi deleniti ut,176.92,3.4,1660,1,98,7,fugiat/autem,molestiae/culpa/voluptas,vero,https://loremflickr.com/320/240/electronics,7,51820,2294,1672,false,Voluptatibus accusamus quas sunt.,0,https://s3.amazonaws.com/uifaces/faces/twitter/silv3rgvn/128.jpg
19,labore rerum eaque,555.83,4.1,6116,1,79,4,velit,magnam/qui/quae,autem,https://loremflickr.com/320/240/electronics,18,67479,532,3958,true,Impedit ab labore quaerat rerum et qui blanditiis.,0,https://s3.amazonaws.com/uifaces/faces/twitter/picard102/128.jpg
20,quam quia qui,753.67,4.2,4486,0,117,8,placeat,consequatur/voluptatem,doloremque,https://loremflickr.com/320/240/electronics,6,23318,8637,2292,false,Voluptas ducimus possimus rerum quae.,1,https://s3.amazonaws.com/uifaces/faces/twitter/victorerixon/128.jpg
21,sunt quae harum,33.27,3.1,9613,1,86,4,et/rerum/qui,nisi/consequuntur/id,ipsum,https://loremflickr.com/320/240/electronics,13,97645,9678,9361,true,Suscipit praesentium animi nobis eos.,0,https://s3.amazonaws.com/uifaces/faces/twitter/adrienths/128.jpg
22,iure dolore iusto,411.11,0.8,3599,0,17,2,ducimus/animi,eius/beatae/iste,ullam,https://loremflickr.com/320/240/electronics,7,67446,2824,702,true,Architecto molestias eum deserunt.,1,https://s3.amazonaws.com/uifaces/faces/twitter/n3dmax/128.jpg
23,nostrum inventore explicabo,724.29,3.8,9970,1,52,2,excepturi,et/culpa,quidem,https://loremflickr.com/320/240/electronics,10,56983,7099,3311,false,Itaque veniam nulla quaerat voluptatem molestiae ut et officia deserunt.,1,https://s3.amazonaws.com/uifaces/faces/twitter/hfalucas/128.jpg
24,doloribus quae voluptatem,44.51,3.6,3957,0,73,0,est/aliquam/accusamus,officia,sit,https://loremflickr.com/320/240/electronics,4,41713,6052,1943,true,Asperiores officia nobis maiores ut.,0,https://s3.amazonaws.com/uifaces/faces/twitter/joaoedumedeiros/128.jpg
